16:47:42.117 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - to 10.252.193.28 connection establied.
16:47:42.497 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - succes
16:47:42.659 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取 fixation_report_add_customer 表的DDL表结构
16:47:42.660 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - truncate table for fixation_report_add_customer is begin...
16:47:42.835 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取数据表 fixation_report_add_customer 的列
16:47:43.097 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在读取源数据--》  csx_b2b_data_center.fixation_report_add_customer 
16:47:43.103 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - select sdt, sales_province, sales_province_code, city_real, channel, channel_code, customer_no, customer_name, update_by, create_date, sign_date, sign_amount, contract_begin, contract_end, attribute_code, attribute, first_category, first_category_code, second_category, second_category_code, third_category, third_category_code, work_no, sales_name, sales_supervisor_name, sales_supervisor_work_no, district_manager_name, district_manager_work_no, sdt_min, sdts, sale, sale_avg, profit from csx_b2b_data_center.fixation_report_add_customer
16:47:43.777 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在组装插入SQL(fixation_report_add_customer) ...
16:48:35.979 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
16:48:37.934 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
16:51:14.850 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
16:51:16.873 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
16:52:01.851 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
16:52:03.798 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
16:52:42.239 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
16:52:44.221 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
16:53:30.421 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
17:20:23.016 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
17:20:25.058 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
17:20:30.204 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.44/csx_b2b_data_center
17:20:30.857 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.28/data_hub
17:20:30.858 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - from 10.252.193.44 connection establied.
17:20:30.858 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - to 10.252.193.28 connection establied.
17:20:31.179 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - succes
17:20:31.344 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取 fixation_report_add_customer 表的DDL表结构
17:20:31.346 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - truncate table for fixation_report_add_customer is begin...
17:20:31.589 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取数据表 fixation_report_add_customer 的列
17:20:31.791 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在读取源数据--》  csx_b2b_data_center.fixation_report_add_customer 
